time,payload_x_position,payload_y_position,payload_z_position,payload_x_velocity,payload_y_velocity,payload_z_velocity,half_times,payload_x_acceleration,payload_y_acceleration,payload_z_acceleration
0,0,0,0,0,0,0,0.005,0.296393,0,2.38779
0.01,0.000145381,0,0.00117121,0.0290761,0,0.234242,0.015,0.296884,0,2.3934
0.02,0.000581764,0,0.00468759,0.0582005,0,0.469035,0.025,0.29737,0,2.39895
0.03,0.00130963,0,0.0105546,0.0873725,0,0.704372,0.035,0.297849,0,2.40443
0.04,0.00232945,0,0.0187777,0.116591,0,0.940246,0.045,0.298322,0,2.40984
0.05,0.00364169,0,0.0293622,0.145857,0,1.17665,0.055,0.298789,0,2.41517
0.06,0.00524681,0,0.0423134,0.175168,0,1.41358,0.065,0.299249,0,2.42043
0.07,0.00714528,0,0.0576364,0.204524,0,1.65102,0.075,0.299703,0,2.42562
0.08,0.00933752,0,0.0753364,0.233925,0,1.88898,0.085,0.30015,0,2.43073
0.09,0.011824,0,0.0954184,0.26337,0,2.12743,0.095,0.300591,0,2.43577
0.1,0.0146051,0,0.117887,0.292858,0,2.36638,0.105,0.301025,0,2.44073
0.11,0.0176814,0,0.142748,0.322388,0,2.60582,0.115,0.301452,0,2.44562
0.12,0.0210531,0,0.170006,0.351961,0,2.84573,0.125,0.301873,0,2.45042
0.13,0.0247208,0,0.199665,0.381575,0,3.08612,0.135,0.302286,0,2.45515
0.14,0.0286848,0,0.231731,0.411229,0,3.32697,0.145,0.302693,0,2.45979
0.15,0.0329456,0,0.266207,0.440923,0,3.56827,0.155,0.303092,0,2.46436
0.16,0.0375035,0,0.303099,0.470656,0,3.81003,0.165,0.303484,0,2.46884
0.17,0.0423589,0,0.34241,0.500428,0,4.05222,0.175,0.303869,0,2.47324
0.18,0.0475122,0,0.384145,0.530238,0,4.29484,0.185,0.304246,0,2.47755
0.19,0.0529638,0,0.428309,0.560084,0,4.53789,0.195,0.304616,0,2.48178
0.2,0.0587141,0,0.474905,0.589967,0,4.78136,0.205,0.304979,0,2.48593
0.21,0.0647634,0,0.523938,0.619886,0,5.02522,0.215,0.305334,0,2.48998
0.22,0.071112,0,0.575412,0.649839,0,5.26949,0.225,0.305681,0,2.49395
0.23,0.0777603,0,0.62933,0.679826,0,5.51415,0.235,0.306021,0,2.49784
0.24,0.0847087,0,0.685696,0.709847,0,5.75919,0.245,0.306353,0,2.50163
0.25,0.0919574,0,0.744515,0.7399,0,6.0046,0.255,0.306677,0,2.50533
0.26,0.0995068,0,0.80579,0.769985,0,6.25037,0.265,0.306993,0,2.50895
0.27,0.107357,0,0.869525,0.800101,0,6.4965,0.275,0.307301,0,2.51247
0.28,0.115509,0,0.935722,0.830247,0,6.74297,0.285,0.307601,0,2.5159
0.29,0.123962,0,1.00439,0.860423,0,6.98978,0.295,0.307893,0,2.51923
0.3,0.132718,0,1.07552,0.890627,0,7.23692,0.305,0.431898,0,2.50945
0.31,0.141836,0,1.14912,0.932997,0,7.48309,0.315,0.437865,0,2.51189
0.32,0.15138,0,1.22518,0.975951,0,7.72951,0.325,0.443719,0,2.51424
0.33,0.161358,0,1.30371,1.01948,0,7.97616,0.335,0.449464,0,2.5165
0.34,0.171773,0,1.38471,1.06357,0,8.22303,0.345,0.455106,0,2.51866
0.35,0.182632,0,1.46817,1.10822,0,8.47011,0.355,0.460648,0,2.52073
0.36,0.19394,0,1.55411,1.15341,0,8.71739,0.365,0.466092,0,2.5227
0.37,0.205703,0,1.64252,1.19913,0,8.96487,0.375,0.471444,0,2.52458
0.38,0.217925,0,1.73341,1.24538,0,9.21253,0.385,0.476705,0,2.52636
0.39,0.230613,0,1.82677,1.29214,0,9.46036,0.395,0.481878,0,2.52804
0.4,0.243771,0,1.92262,1.33942,0,9.70836,0.405,0.486965,0,2.52962
0.41,0.257404,0,2.02094,1.38719,0,9.95652,0.415,0.49197,0,2.53111
0.42,0.271517,0,2.12175,1.43545,0,10.2048,0.425,0.496895,0,2.53249
0.43,0.286115,0,2.22504,1.4842,0,10.4533,0.435,0.50174,0,2.53378
0.44,0.301203,0,2.33081,1.53342,0,10.7018,0.445,0.506509,0,2.53496
0.45,0.316786,0,2.43907,1.58311,0,10.9505,0.455,0.511203,0,2.53604
0.46,0.332868,0,2.54982,1.63325,0,11.1993,0.465,0.515824,0,2.53702
0.47,0.349453,0,2.66306,1.68386,0,11.4482,0.475,0.520373,0,2.5379
0.48,0.366547,0,2.77879,1.73491,0,11.6971,0.485,0.524852,0,2.53867
0.49,0.384153,0,2.897,1.78639,0,11.9462,0.495,0.529262,0,2.53934
0.5,0.402277,0,3.01771,1.83831,0,12.1953,0.505,0.533604,0,2.53991
0.51,0.420922,0,3.14091,1.89066,0,12.4445,0.515,0.53788,0,2.54036
0.52,0.440092,0,3.2666,1.94343,0,12.6937,0.525,0.542091,0,2.54072
0.53,0.459792,0,3.39478,1.99661,0,12.9429,0.535,0.546238,0,2.54096
0.54,0.480026,0,3.52546,2.05019,0,13.1922,0.545,0.550321,0,2.5411
0.55,0.500798,0,3.65863,2.10418,0,13.4415,0.555,0.554343,0,2.54114
0.56,0.522112,0,3.79429,2.15856,0,13.6907,0.565,0.558303,0,2.54106
0.57,0.543971,0,3.93244,2.21333,0,13.94,0.575,0.562203,0,2.54088
0.58,0.56638,0,4.07309,2.26848,0,14.1893,0.585,0.566043,0,2.54058
0.59,0.589343,0,4.21623,2.32401,0,14.4385,0.595,0.569824,0,2.54018
0.6,0.612862,0,4.36186,2.37991,0,14.6877,0.605,0.573547,0,2.53967
0.61,0.636943,0,4.50998,2.43617,0,14.9368,0.615,0.577213,0,2.53905
0.62,0.661588,0,4.6606,2.4928,0,15.1859,0.625,0.580822,0,2.53832
0.63,0.686801,0,4.8137,2.54978,0,15.4349,0.635,0.584374,0,2.53748
0.64,0.712585,0,4.96929,2.6071,0,15.6839,0.645,0.587871,0,2.53653
0.65,0.738944,0,5.12738,2.66477,0,15.9327,0.655,0.591313,0,2.53546
0.66,0.765882,0,5.28795,2.72278,0,16.1814,0.665,0.5947,0,2.53429
0.67,0.793402,0,5.451,2.78112,0,16.43,0.675,0.598033,0,2.533
0.68,0.821506,0,5.61655,2.83979,0,16.6785,0.685,0.601313,0,2.53161
0.69,0.850199,0,5.78457,2.89878,0,16.9269,0.695,0.604539,0,2.5301
0.7,0.879483,0,5.95508,2.95808,0,17.1751,0.705,0.607713,0,2.52847
0.71,0.909362,0,6.12808,3.0177,0,17.4231,0.715,0.610834,0,2.52674
0.72,0.939839,0,6.30355,3.07762,0,17.671,0.725,0.613904,0,2.52489
0.73,0.970916,0,6.48149,3.13785,0,17.9187,0.735,0.616922,0,2.52293
0.74,1.0026,0,6.66192,3.19837,0,18.1662,0.745,0.619888,0,2.52086
0.75,1.03489,0,6.84482,3.25918,0,18.4135,0.755,0.622804,0,2.51868
0.76,1.06778,0,7.03019,3.32028,0,18.6606,0.765,0.62567,0,2.51638
0.77,1.10129,0,7.21803,3.38165,0,18.9074,0.775,0.628485,0,2.51397
